,date,close_price,volume,high,low,open_price,revenue,net_income,operating_income,total_assets,operating_cash_flow,free_cash_flow,profit_margin,headcount,market_cap,pe_ratio,pb_ratio,value,value_google_trends,year,month,day_of_week,quarter,day_of_year,close_price_rolling_mean_7,close_price_rolling_std_7,volume_rolling_mean_7,volume_rolling_std_7,value_rolling_mean_7,value_rolling_std_7
count,85094,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,58612.0,85094.0,12165.0,85094.0,85094.0,85094.0,85094.0,85094.0,63009.0,61308.0,63009.0,61308.0,85094.0,85093.0
mean,2024-03-25 06:12:28.818953472,1087.1305747497277,32185818.02567695,1099.3827210470427,1074.5432940923336,1087.0195408809814,169205961816.69284,26983803630.655838,32986615372.278717,250345177222.1652,37662715327.919205,22739038377.80659,0.18381727395379782,262546.04261065356,874143871681.7427,22.43038143363134,96.75288068674016,21.70181026764231,48.066009042334564,2023.7806425834958,5.931311255787717,3.002021294098291,2.315827202858016,165.13810609443675,1055.5853107627076,732.5536185643882,31893506.131810863,26784799.845102195,21.701809973362604,0.04555167734748709
min,2023-01-01 00:00:00,14.252331733703613,25121.0,14.55106598124575,14.02153527018325,14.461144038945182,454000000.0,-3068000000.0,249000000.0,6996300000.0,233400000.0,-129300000.0,-0.11241999,691.0,3774268672.0,8.549999,1.7423763,10.0,7.0,2023.0,1.0,0.0,1.0,1.0,56.00999450683594,0.0,101057.14285714286,0.0,10.0,0.0
25%,2023-08-14 00:00:00,129.56907653808594,1761710.0,131.21089374180312,128.19120705707218,129.7463422374576,10791700000.0,829400000.0,1834000000.0,21691700000.0,2874000000.0,1690000000.0,0.08026,25041.0,16872943616.0,15.068966,9.156024,13.010222154428956,33.0,2023.0,3.0,1.0,1.0,76.0,143.482421875,55.7255645063587,9605545.857142856,3917660.7021989403,13.011055561332524,0.0
50%,2024-03-25 00:00:00,185.50927734375,11782500.0,187.33627130344246,183.39382921791082,185.16234115126528,47061000000.0,9578000000.0,12920000000.0,100549000000.0,8103000000.0,5539000000.0,0.13795,69700.0,178487181312.0,17.459091,44.791454,18.046308827965422,43.0,2024.0,5.0,3.0,2.0,150.0,357.1041259765625,172.81486841000492,16798116.0,11449974.625451542,18.05013219153436,0.0
75%,2024-11-04 00:00:00,1958.305908203125,28687600.0,1983.1360526982517,1938.6553136620423,1958.1468107511496,339247000000.0,59248000000.0,68593000000.0,450256000000.0,64089000000.0,32878000000.0,0.26507,185719.0,2114449047552.0,31.14504,139.88016,25.06429174482829,70.0,2024.0,9.0,5.0,3.0,254.0,1795.9556753976005,1428.2008167666431,30026397.714285713,24271611.59981072,25.06429174482829,0.0
max,2025-06-20 00:00:00,5729.285153369745,325163410.66768074,5791.931062850674,5664.767684150803,5728.63473010055,680985000000.0,100118000000.0,123216000000.0,1324312836522.126,125299000000.0,108807000000.0,0.60573,1911722.9516744637,3587612868608.0,47.074192,613.9673241094298,79.9456259484671,100.0,2025.0,12.0,6.0,4.0,366.0,5209.155899993283,2864.619146199168,325163410.66768074,221359206.2731843,79.9456259484671,5.921792647161755
std,,1542.1141157497138,66549301.9464408,1558.8510008694066,1524.7629823813427,1541.848020653518,210210074733.85385,35174202646.1782,41965430748.372185,319092317564.0134,45777821318.13783,31557049207.071507,0.16722645236225694,514048.2645736176,1265746807532.2166,10.916224183096604,140.3610753402036,13.394474472968295,23.26806807631852,0.7370764926401201,3.423385998621476,1.9988528444111882,1.108061150194719,104.67650234406396,1160.0444980056611,780.9951878802652,46793771.33621931,42101348.963196404,13.39225529010135,0.259303598341645
